raceId,year,round,date,name,circuitRef,country,driverRef,code,constructorRef,grid,positionOrder,points,laps,statusId,milliseconds,rank,fastestLapSpeed
1036,2020,6,2020-08-16,Spanish Grand Prix,catalunya,Spain,latifi,LAT,williams,19,18,0.0,64,12,\N,9,204.291
714,1964,6,1964-08-02,German Grand Prix,nurburgring,Germany,anderson,\N,brabham-climax,15,17,0.0,4,22,\N,\N,\N
621,1972,2,1972-03-04,South African Grand Prix,kyalami,South Africa,revson,\N,mclaren,12,3,4.0,79,1,6374900,\N,\N
838,1950,6,1950-07-02,French Grand Prix,reims,France,gonzalez,\N,maserati,8,18,0.0,3,5,\N,\N,\N
497,1981,15,1981-10-17,Caesars Palace Grand Prix,las_vegas,USA,patrese,\N,arrows,11,11,0.0,71,14,\N,\N,\N
392,1987,5,1987-06-21,Detroit Grand Prix,detroit,USA,piquet,\N,williams,3,2,6.0,63,1,6650177,\N,\N
617,1973,13,1973-09-09,Italian Grand Prix,monza,Italy,hunt,\N,march,0,25,0.0,0,3,\N,\N,\N
835,1950,3,1950-05-30,Indianapolis 500,indianapolis,USA,holmes,\N,olson,30,23,0.0,123,20,\N,\N,\N
86,2005,16,2005-09-11,Belgian Grand Prix,spa,Belgium,villeneuve,VIL,sauber,14,6,3.0,44,1,5488695,7,219.810
1051,2021,20,2021-11-21,Qatar Grand Prix,losail,Qatar,norris,NOR,mclaren,4,9,2.0,56,11,\N,4,225.876
871,2012,12,2012-09-02,Belgian Grand Prix,spa,Belgium,vergne,VER,toro_rosso,15,8,4.0,44,1,5407395,8,221.188
1115,2023,17,2023-10-08,Qatar Grand Prix,losail,Qatar,leclerc,LEC,ferrari,5,5,10.0,57,1,5298144,4,229.532
315,1991,11,1991-08-25,Belgian Grand Prix,spa,Belgium,senna,\N,mclaren,1,1,10.0,44,1,5237669,\N,\N
527,1978,1,1978-01-15,Argentine Grand Prix,galvez,Argentina,keegan,\N,surtees,19,24,0.0,4,25,\N,\N,\N
696,1966,7,1966-09-04,Italian Grand Prix,monza,Italy,hulme,\N,brabham-repco,10,3,4.0,68,1,6440900,\N,\N
67,2006,15,2006-09-10,Italian Grand Prix,monza,Italy,alonso,ALO,renault,10,19,0.0,43,5,\N,5,250.896
877,2012,18,2012-11-04,Abu Dhabi Grand Prix,yas_marina,UAE,hamilton,HAM,mclaren,1,21,0.0,19,10,\N,16,186.400
649,1970,7,1970-07-18,British Grand Prix,brands_hatch,UK,mario_andretti,\N,march,9,18,0.0,21,22,\N,\N,\N
1113,2023,15,2023-09-17,Singapore Grand Prix,marina_bay,Singapore,alonso,ALO,aston_martin,7,15,0.0,62,1,6485021,3,184.374
975,2017,7,2017-06-11,Canadian Grand Prix,villeneuve,Canada,kvyat,KVY,toro_rosso,11,17,0.0,54,131,\N,13,204.653
962,2016,15,2016-09-18,Singapore Grand Prix,marina_bay,Singapore,vettel,VET,ferrari,22,5,10.0,61,1,6976644,2,169.863
406,1986,3,1986-04-27,San Marino Grand Prix,imola,Italy,piquet,\N,williams,2,2,6.0,60,1,5556053,\N,\N
